id,title,link,price,origin,image,seller_name,seller_link,sell_type,num_bids,num_watchers,num_stock,date
item56f54d3d1d,#1050 Insects Papilionidae Sericinus montela pair Russia Far East Primorye,https://www.ebay.com/itm/373482667293?hash=item56f54d3d1d:g:qIQAAOSwuuFgP41A,$17.50,"Vladivostok, Russian Federation",https://i.ebayimg.com/images/g/qIQAAOSwuuFgP41A/s-l300.jpg,pacificvdk,https://www.ebay.com/usr/pacificvdk?_trksid=p2047675.l2559,Instant,0,0,1,Unknown
item5db1848336,"Sericinus montela montela, summer gen., Russia, Far East, Male+Female, A1",https://www.ebay.com/itm/402410210102?hash=item5db1848336:g:I6sAAOSwbc1fUgD6,$30.00,"Moscow, Russian Federation",https://i.ebayimg.com/images/g/I6sAAOSwbc1fUgD6/s-l300.jpg,insectopedia,https://www.ebay.com/usr/insectopedia?_trksid=p2047675.l2559,Instant,0,0,2,"Apr 12, 2021 11:44:17 PDT"
item5db187ff26,"Sericinus montela montela, summer gen., Male, A1, Russia, Far East",https://www.ebay.com/itm/402410438438?hash=item5db187ff26:g:qU4AAOSw9nVfUhot,$11.00,"Moscow, Russian Federation",https://i.ebayimg.com/images/g/qU4AAOSw9nVfUhot/s-l300.jpg,insectopedia,https://www.ebay.com/usr/insectopedia?_trksid=p2047675.l2559,Instant,0,0,6,"Apr 12, 2021 11:43:25 PDT"
item4b6c2fefb0,"Sericinus montela ssp.?, female A1- (BRED A0 but no antennae) (Japan)",https://www.ebay.com/itm/323937628080?hash=item4b6c2fefb0:g:iQMAAOSwBqpdl2CJ,$10.00,"Saratov, default, Russian Federation",https://i.ebayimg.com/images/g/iQMAAOSwBqpdl2CJ/s-l300.jpg,arctos16,https://www.ebay.com/usr/arctos16?_trksid=p2047675.l2559,Instant,0,0,1,"Jun 18, 2020 06:40:45 PDT"
item445125519a,Sericinus MONTELA Koreana *** SUMMER SHAPE PAIR *** Japan,https://www.ebay.com/itm/293419176346?hash=item445125519a:g:jK0AAOSwmF1dOwvW,$24.24,"Casares Costa (Malaga), Spain",https://i.ebayimg.com/images/g/jK0AAOSwmF1dOwvW/s-l300.jpg,homerus61,https://www.ebay.com/usr/homerus61?_trksid=p2047675.l2559,Instant,0,0,Last one,"Jan 03, 2021 09:23:48 PST"
item4451253bf8,"Sericinus MONTELA MONTELA ** Spring Form Female *** Yunnan, China-Kunming",https://www.ebay.com/itm/293419170808?hash=item4451253bf8:g:mKgAAOSw-jVdOw0D,$15.71,"Casares Costa (Malaga), Spain",https://i.ebayimg.com/images/g/mKgAAOSw-jVdOw0D/s-l300.jpg,homerus61,https://www.ebay.com/usr/homerus61?_trksid=p2047675.l2559,Instant,0,0,8,"Jan 03, 2021 09:23:55 PST"
item3b43c288c8,"Unmounted Butterfly/Papilionidae - Sericinus montela ssp., male, A-",https://www.ebay.com/itm/254539892936?hash=item3b43c288c8:g:K2kAAOSwtkhea~QZ,$3.81,"Sieraków Wielkopolski, Poland",https://i.ebayimg.com/images/g/K2kAAOSwtkhea~QZ/s-l300.jpg,butterfly-shade,https://www.ebay.com/usr/butterfly-shade?_trksid=p2047675.l2559,Instant,0,0,5,"Dec 13, 2020 13:00:10 PST"
item46a686ae62,Sericinus MONTELA Koreana Yellow form! FLAVOMACULATA * 1 times * from S-COREA,https://www.ebay.com/itm/303441555042?hash=item46a686ae62:g:2fIAAOSwi9VfwjLN,$60.79,"Casares Costa (Malaga), Spain",https://i.ebayimg.com/images/g/2fIAAOSwi9VfwjLN/s-l300.jpg,homerus61,https://www.ebay.com/usr/homerus61?_trksid=p2047675.l2559,Instant,0,0,5,"Jan 03, 2021 09:24:24 PST"
item46a686ae3c,Sericinus MONTELA Koreana Yellow form! FLAVOMACULATA * FEMALE * from S-COREA,https://www.ebay.com/itm/303441555004?hash=item46a686ae3c:g:qskAAOSwsB9WADFx,$60.79,"Miami Playa(Tarragona), Spain",https://i.ebayimg.com/images/g/qskAAOSwsB9WADFx/s-l300.jpg,homerus61,https://www.ebay.com/usr/homerus61?_trksid=p2047675.l2559,Instant,0,0,4,"Jan 03, 2021 09:24:23 PST"
item46a6869b0c,"Sericinus MONTELA MONTELA ** Spring Form Pair *** Yunnan, China-Kunming",https://www.ebay.com/itm/303441550092?hash=item46a6869b0c:g:ORAAAOSwEhNdOw65,$24.24,"Casares Costa (Malaga), Spain",https://i.ebayimg.com/images/g/ORAAAOSwEhNdOw65/s-l300.jpg,homerus61,https://www.ebay.com/usr/homerus61?_trksid=p2047675.l2559,Instant,0,0,2,"Jan 03, 2021 09:24:26 PST"
item46a6869df6,Sericinus MONTELA Koreana *** SUMMER Shape Trio 2 Daily +1 Female *** Japan,https://www.ebay.com/itm/303441550838?hash=item46a6869df6:g:Zk4AAOSw31pdOwrT,$32.77,"Casares Costa (Malaga), Spain",https://i.ebayimg.com/images/g/Zk4AAOSw31pdOwrT/s-l300.jpg,homerus61,https://www.ebay.com/usr/homerus61?_trksid=p2047675.l2559,Instant,0,0,3,"Jan 03, 2021 09:24:28 PST"
item46a6869e61,Sericinus MONTELA Koreana *** Spring Form Trio 2 Daily +1 Female *** Japan,https://www.ebay.com/itm/303441550945?hash=item46a6869e61:g:qF4AAOSw5SNdOwoB,$32.77,"Casares Costa (Malaga), Spain",https://i.ebayimg.com/images/g/qF4AAOSw5SNdOwoB/s-l300.jpg,homerus61,https://www.ebay.com/usr/homerus61?_trksid=p2047675.l2559,Instant,0,0,5,"Jan 03, 2021 09:24:29 PST"
